Subject,Start Date,Description,End Date,Start Time,End Time,All Day Event,Location,Private
Take out the Brown Bin,2024-05-01,Take out the Brown Bin before 7AM on Wednesday!,2024-05-01,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-05-08,Take out the Black Bin before 7AM on Wednesday!,2024-05-08,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-05-15,Take out the Blue Bin before 7AM on Wednesday!,2024-05-15,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-05-22,Take out the Black Bin before 7AM on Wednesday!,2024-05-22,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-05-29,Take out the Brown Bin before 7AM on Wednesday!,2024-05-29,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-06-05,Take out the Black Bin before 7AM on Wednesday!,2024-06-05,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-06-12,Take out the Blue Bin before 7AM on Wednesday!,2024-06-12,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-06-19,Take out the Black Bin before 7AM on Wednesday!,2024-06-19,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-06-26,Take out the Brown Bin before 7AM on Wednesday!,2024-06-26,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-07-03,Take out the Black Bin before 7AM on Wednesday!,2024-07-03,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-07-10,Take out the Blue Bin before 7AM on Wednesday!,2024-07-10,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-07-17,Take out the Black Bin before 7AM on Wednesday!,2024-07-17,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-07-24,Take out the Brown Bin before 7AM on Wednesday!,2024-07-24,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-07-31,Take out the Black Bin before 7AM on Wednesday!,2024-07-31,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-08-07,Take out the Blue Bin before 7AM on Wednesday!,2024-08-07,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-08-14,Take out the Black Bin before 7AM on Wednesday!,2024-08-14,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-08-21,Take out the Brown Bin before 7AM on Wednesday!,2024-08-21,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-08-28,Take out the Black Bin before 7AM on Wednesday!,2024-08-28,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-09-04,Take out the Blue Bin before 7AM on Wednesday!,2024-09-04,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-09-11,Take out the Black Bin before 7AM on Wednesday!,2024-09-11,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-09-18,Take out the Brown Bin before 7AM on Wednesday!,2024-09-18,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-09-25,Take out the Black Bin before 7AM on Wednesday!,2024-09-25,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-10-02,Take out the Blue Bin before 7AM on Wednesday!,2024-10-02,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-10-09,Take out the Black Bin before 7AM on Wednesday!,2024-10-09,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-10-16,Take out the Brown Bin before 7AM on Wednesday!,2024-10-16,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-10-23,Take out the Black Bin before 7AM on Wednesday!,2024-10-23,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-10-30,Take out the Blue Bin before 7AM on Wednesday!,2024-10-30,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-11-06,Take out the Black Bin before 7AM on Wednesday!,2024-11-06,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-11-13,Take out the Brown Bin before 7AM on Wednesday!,2024-11-13,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-11-20,Take out the Black Bin before 7AM on Wednesday!,2024-11-20,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-11-27,Take out the Blue Bin before 7AM on Wednesday!,2024-11-27,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-12-04,Take out the Black Bin before 7AM on Wednesday!,2024-12-04,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2024-12-11,Take out the Brown Bin before 7AM on Wednesday!,2024-12-11,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2024-12-18,Take out the Black Bin before 7AM on Wednesday!,2024-12-18,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2024-12-25,Take out the Blue Bin before 7AM on Wednesday!,2024-12-25,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2025-01-01,Take out the Black Bin before 7AM on Wednesday!,2025-01-01,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2025-01-08,Take out the Brown Bin before 7AM on Wednesday!,2025-01-08,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2025-01-15,Take out the Black Bin before 7AM on Wednesday!,2025-01-15,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2025-01-22,Take out the Blue Bin before 7AM on Wednesday!,2025-01-22,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2025-01-29,Take out the Black Bin before 7AM on Wednesday!,2025-01-29,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2025-02-05,Take out the Brown Bin before 7AM on Wednesday!,2025-02-05,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2025-02-12,Take out the Black Bin before 7AM on Wednesday!,2025-02-12,12:00 AM,11:59 PM,True,Home,True
Take out the Blue Bin,2025-02-19,Take out the Blue Bin before 7AM on Wednesday!,2025-02-19,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2025-02-26,Take out the Black Bin before 7AM on Wednesday!,2025-02-26,12:00 AM,11:59 PM,True,Home,True
Take out the Brown Bin,2025-03-05,Take out the Brown Bin before 7AM on Wednesday!,2025-03-05,12:00 AM,11:59 PM,True,Home,True
Take out the Black Bin,2025-03-12,Take out the Black Bin before 7AM on Wednesday!,2025-03-12,12:00 AM,11:59 PM,True,Home,True
